# ----------------------------------------------
# averaged over velocity from channel 981 to 983
# velocity range: -4.88783 to -4.80003 km/s
# central velocity: -4.84393 km/s
# columns:
# MJD           year             I             +/-           V             +/-           LHC           +/-           RHC           +/-           
# ----------------------------------------------
  55006.7163079  2009.4810850     5.4558667     0.2995910    -0.0999667     0.2919904     5.5558334     0.4549682     5.3559000     0.3781933 
  55008.7027662  2009.4865237     4.8254833     0.2983278     0.2537501     0.2994698     4.5717332     0.4403745     5.0792334     0.4042692 
  55009.4730556  2009.4886326     5.8027666     0.3027363     0.2577332     0.3188448     5.5450335     0.4610389     6.0604998     0.4172118 
  55012.6171412  2009.4972406     6.8733000     0.2907466    -0.2612000     0.2821127     7.1345000     0.4144578     6.6121000     0.3955592 
  55015.7275116  2009.5057564     7.4296168     0.1423327    -0.3567833     0.1586402     7.7864002     0.2043299     7.0728335     0.2215851 
  55016.5271644  2009.5079457     6.8847001     0.1822319     0.3193667     0.2027930     6.5653334     0.3151714     7.2040668     0.2221124 
  55017.4233796  2009.5103994     6.9522167     0.1789849    -0.0536834     0.1882367     7.0059001     0.2953305     6.8985333     0.2184425 
  55023.3362847  2009.5265880     6.9981999     0.2412799    -0.0312666     0.2364141     7.0294665     0.4035513     6.9669333     0.2556591 
  55026.3828472  2009.5349291     7.8672167     0.1682148    -0.1362166     0.1853335     8.0034334     0.2488033     7.7310001     0.2517665 
  55028.3976620  2009.5404453     7.8957667     0.2137785     0.1565665     0.1951924     7.7392001     0.3459756     8.0523332     0.2188688 
  55033.3334722  2009.5539589     8.6109334     0.1756473    -0.3536667     0.1851967     8.9646001     0.2605784     8.2572667     0.2497968 
  55036.3492245  2009.5622155     9.3884834     0.1803552    -0.1449500     0.1750473     9.5334334     0.2681914     9.2435335     0.2332649 
  55041.3390394  2009.5758769     8.5722834     0.1453966    -0.4061836     0.1745483     8.9784670     0.2371453     8.1660999     0.2167410 
  55042.5486111  2009.5791885     8.6164332     0.1782915     0.0268665     0.1754897     8.5895667     0.2541591     8.6432997     0.2461141 
  55043.3004630  2009.5812470     8.4618001     0.1512419    -0.0766665     0.1653678     8.5384666     0.2235239     8.3851336     0.2246739 
  55047.2199074  2009.5919778     6.8953501     0.1521032     0.0643500     0.1595191     6.8310002     0.2429996     6.9597001     0.1952296 
  55054.6428472  2009.6123007     6.7817833     0.1563826    -0.1175499     0.1464420     6.8993332     0.2184301     6.6642334     0.2099759 
  55057.3181829  2009.6196254     6.1377166     0.1883991     0.0697501     0.1720811     6.0679665     0.2770324     6.2074667     0.2312256 
  55062.2007755  2009.6329932     5.6453166     0.1293603    -0.1549166     0.1310196     5.8002333     0.1713817     5.4904000     0.1960326 
  55064.5657407  2009.6394681     5.7299167     0.1873926    -0.3696833     0.1989745     6.0996000     0.3095857     5.3602334     0.2314529 
  55069.5045255  2009.6529898     5.1551000     0.2650652    -0.1976333     0.2541937     5.3527333     0.4499364     4.9574667     0.2594326 
  55072.4489815  2009.6610513     5.5471000     0.1762073    -0.0328333     0.1687098     5.5799333     0.2536383     5.5142666     0.2338623 
  55078.2235417  2009.6768612     5.3627332     0.2484913     0.0498001     0.2203825     5.3129331     0.4123295     5.4125333     0.2249823 
  55079.2718866  2009.6797314     5.5116333     0.2069201    -0.0349333     0.1769053     5.5465666     0.2988929     5.4767000     0.2426642 
  55080.5346528  2009.6831886     5.3945165     0.3255739     0.1825833     0.3019042     5.2119333     0.5626179     5.5770998     0.2788369 
  55082.5087500  2009.6885934     5.2683165     0.1483640     0.0992833     0.1764241     5.1690333     0.2472256     5.3675998     0.2124951 
  55084.1969444  2009.6932155     5.2988000     0.1603422    -0.2201667     0.1732966     5.5189667     0.2414553     5.0786333     0.2306122 
  55086.5299884  2009.6996030     5.1765167     0.1755907    -0.1731500     0.1976292     5.3496667     0.2817841     5.0033666     0.2457162 
  55091.2373380  2009.7124910     4.5097833     0.1571103     0.0755500     0.1583470     4.4342333     0.2340594     4.5853333     0.2114970 
  55099.3679167  2009.7347513     4.7013667     0.1904644     0.4457999     0.1995073     4.2555668     0.3131320     5.1471666     0.2326115 
  55105.4370023  2009.7513676     6.2689166     0.2258322    -0.0696501     0.2274258     6.3385667     0.3018025     6.1992664     0.3381724 
  55114.3574421  2009.7757904     8.6307499     0.1589286    -0.2114166     0.1492234     8.8421666     0.2433998     8.4193333     0.1892311 
  55132.0332292  2009.8241841     6.2379333     0.1853980     0.1305333     0.1923006     6.1074000     0.2427792     6.3684665     0.2894169 
  55147.3050810  2009.8659961    11.2687666     0.2544492    -0.2336999     0.2473753    11.5024665     0.3249342    11.0350668     0.3824861 
  55153.0292130  2009.8816679    13.8007668     0.2239794    -0.0418334     0.2103345    13.8426002     0.2834223    13.7589334     0.3293730 
  55160.0981250  2009.9010216    14.9259666     0.1797628    -0.1025330     0.1786622    15.0284996     0.2475456    14.8234336     0.2592121 
  55164.1980787  2009.9122466    12.9925834     0.1880868    -0.3987498     0.1815132    13.3913333     0.2646042    12.5938336     0.2581318 
  55166.9944792  2009.9199027    10.1226833     0.1914553     0.0512167     0.1780374    10.0714666     0.2792374    10.1739000     0.2423456 
  55169.1452662  2009.9257913    10.2092335     0.1905416    -0.0478000     0.2072022    10.2570335     0.2755154    10.1614335     0.2873482 
  55178.9390972  2009.9526053     8.0339833     0.1552168     0.1061833     0.1597626     7.9278000     0.1960916     8.1401666     0.2465375 
  55180.1821412  2009.9560086     6.9259832     0.1807451     0.0499167     0.1758072     6.8760665     0.2577883     6.9758999     0.2463719 
  55181.8360301  2009.9605367     8.7957168     0.1690842     0.0854834     0.1739270     8.7102334     0.2402410     8.8812002     0.2448763 
  55182.8806597  2009.9633967     7.3416333     0.1495391     0.0512001     0.1438413     7.2904332     0.2021324     7.3928334     0.2127135 
  55184.9675810  2009.9691104     8.0410333     0.1784922     0.2225334     0.1705536     7.8184999     0.2129526     8.2635667     0.2766716 
  55186.1856944  2009.9724454     9.3361167     0.1859742     0.5039165     0.1905540     8.8322002     0.2616458     9.8400332     0.2708061 
  55191.9212037  2009.9881484    11.4302003     0.2109363     0.1887999     0.2255524    11.2414004     0.2935348    11.6190001     0.3233780 
  55194.0432407  2009.9939582    10.5356667     0.2203764    -0.1132003     0.2196210    10.6488670     0.3040069    10.4224664     0.3180851 
  55195.8734375  2009.9989690    11.5943832     0.1778363    -0.1412170     0.1762694    11.7356002     0.2432172    11.4531662     0.2573687 
  55199.9060648  2010.0106942    10.5315832     0.1758011    -0.0222167     0.1761153    10.5537999     0.2319721    10.5093665     0.2646397 
  55204.1634144  2010.0223502     8.9597834     0.1839319     0.1700500     0.1695190     8.7897334     0.2542226     9.1298334     0.2459800 
  55206.1758565  2010.0278600     8.5381000     0.1652737     0.1311999     0.1607457     8.4069001     0.2459387     8.6692999     0.2140638 
  55208.8872106  2010.0352833    10.9154164     0.5817509    -0.7731166     0.6894495    11.6885330     0.8854050    10.1422998     0.9184811 
  55210.8047338  2010.0405332     8.7509501     0.6372087     0.7819833     0.6472955     7.9689668     0.9187600     9.5329334     0.8977376 
  55213.9238426  2010.0490728     8.1391168     0.5025443    -0.6063499     0.5354734     8.7454667     0.7920280     7.5327668     0.6717565 
  55215.0950926  2010.0522795     9.1371333     0.6870989     0.0312667     0.7583490     9.1058666     1.3172299     9.1684000     0.5994176 
