# ----------------------------------------------
# averaged over velocity from channel 873 to 873
# velocity range: -9.62933 to -9.62933 km/s
# central velocity: -9.62933 km/s
# columns:
# MJD           year             I             +/-           V             +/-           LHC           +/-           RHC           +/-           
# ----------------------------------------------
  55006.7163079  2009.4810850    -0.1163000     0.2995910     0.2957000     0.2919904    -0.4120000     0.4549682     0.1794000     0.3781933 
  55008.7027662  2009.4865237    -0.1820500     0.2983278     0.6495500     0.2994698    -0.8316000     0.4403745     0.4675000     0.4042692 
  55009.4730556  2009.4886326    -0.1073000     0.3027363     0.4076000     0.3188448    -0.5149000     0.4610389     0.3003000     0.4172118 
  55012.6171412  2009.4972406     0.3321000     0.2907466    -0.6183000     0.2821127     0.9504000     0.4144578    -0.2862000     0.3955592 
  55015.7275116  2009.5057564    -0.0273500     0.1423327     0.1219500     0.1586402    -0.1493000     0.2043299     0.0946000     0.2215851 
  55016.5271644  2009.5079457    -0.5340500     0.1822319     0.0388500     0.2027930    -0.5729000     0.3151714    -0.4952000     0.2221124 
  55017.4233796  2009.5103994    -0.1797000     0.1789849     0.1087000     0.1882367    -0.2884000     0.2953305    -0.0710000     0.2184425 
  55023.3362847  2009.5265880    -0.1006500     0.2412799    -0.2155500     0.2364141     0.1149000     0.4035513    -0.3162000     0.2556591 
  55026.3828472  2009.5349291     0.1339000     0.1682148    -0.2039000     0.1853335     0.3378000     0.2488033    -0.0700000     0.2517665 
  55028.3976620  2009.5404453    -0.1277000     0.2137785    -0.1498000     0.1951924     0.0221000     0.3459756    -0.2775000     0.2188688 
  55033.3334722  2009.5539589     0.4484000     0.1756473    -0.1382000     0.1851967     0.5866000     0.2605784     0.3102000     0.2497968 
  55036.3492245  2009.5622155     0.0870000     0.1803552    -0.1740000     0.1750473     0.2610000     0.2681914    -0.0870000     0.2332649 
  55041.3390394  2009.5758769     0.0888500     0.1453966    -0.2882500     0.1745483     0.3771000     0.2371453    -0.1994000     0.2167410 
